Test File,OperationTable Size,Sequence Size,Execution Time (s),Memory Usage (MB)
test13.in,100,200,0.10621428489685059,0.078125
test03.in,3,6,0.10660409927368164,0.390625
test17.in,1000,200,1.0525827407836914,293.46875
test07.in,25,50,0.106903076171875,0.40625
test16.in,500,1000,9.54116177558899,3903.703125
test06.in,25,30,0.10671305656433105,0.40625
test12.in,100,150,0.1069340705871582,0.390625
test02.in,2,4,0.10537075996398926,0.453125
test19.in,1000,1000,16.962397813796997,7775.796875
test09.in,50,75,0.10655426979064941,0.453125
test18.in,1000,500,3.9882543087005615,1923.328125
test08.in,50,50,0.10575675964355469,0.390625
test15.in,500,750,4.819627046585083,2180.328125
test05.in,25,25,0.10653495788574219,0.421875
test11.in,100,100,0.10261416435241699,0.390625
test01.in,2,1,0.10660791397094727,0.40625
test10.in,50,100,0.1088101863861084,0.15625
test14.in,500,500,1.8845109939575195,957.328125
test04.in,15,15,0.10645818710327148,0.359375
